time_s,reference_rad_s,pid_speed_rad_s,ml_speed_rad_s,pid_voltage_v,ml_voltage_v,disturbance_torque_nm
0,1,0,0,24,24,0
0.01,1,0.00230648,0.00230648,18.4732,18.4778,0
0.02,1,0.00833907,0.00833951,18.4136,18.4123,0
0.03,1,0.017149,0.0171502,18.3768,18.3711,0
0.04,1,0.0283966,0.0283977,18.3194,18.3099,0
0.05,1,0.0417761,0.0417756,18.2434,18.2306,0
0.06,1,0.0570085,0.0570046,18.151,18.1355,0
0.07,1,0.0738397,0.0738301,18.0443,18.0268,0
0.08,1,0.0920384,0.0920207,17.9251,17.9062,0
0.09,1,0.111394,0.111366,17.7951,17.7756,0
0.1,1,0.131717,0.131675,17.6559,17.6366,0
0.11,1,0.152832,0.152776,17.5089,17.4905,0
0.12,1,0.174585,0.174511,17.3553,17.3386,0
0.13,1,0.196832,0.196741,17.1963,17.1819,0
0.14,1,0.219448,0.219338,17.033,17.0214,0
0.15,1,0.242318,0.242188,16.8662,16.8581,0
0.16,1,0.265337,0.26519,16.697,16.6925,0
0.17,1,0.288415,0.288251,16.526,16.5255,0
0.18,1,0.31147,0.31129,16.3539,16.3575,0
0.19,1,0.334427,0.334234,16.1814,16.1891,0
0.2,1,0.357223,0.357019,16.009,16.0207,0
0.21,1,0.379799,0.379589,15.8372,15.8528,0
0.22,1,0.402107,0.401894,15.6664,15.6858,0
0.23,1,0.424101,0.423889,15.4971,15.5198,0
0.24,1,0.445744,0.445537,15.3297,15.3553,0
0.25,1,0.467003,0.466806,15.1643,15.1925,0
0.26,1,0.48785,0.487667,15.0012,15.0317,0
0.27,1,0.508261,0.508096,14.8408,14.873,0
0.28,1,0.528217,0.528074,14.6832,14.7167,0
0.29,1,0.547701,0.547585,14.5285,14.563,0
0.3,1,0.566701,0.566615,14.3769,14.4119,0
0.31,1,0.585206,0.585154,14.2285,14.2638,0
0.32,1,0.60321,0.603194,14.0835,14.1185,0
0.33,1,0.620707,0.62073,13.9418,13.9764,0
0.34,1,0.637695,0.637759,13.8035,13.8375,0
0.35,1,0.654174,0.65428,13.6688,13.7018,0
0.36,1,0.670143,0.670293,13.5375,13.5695,0
0.37,1,0.685605,0.6858,13.4098,13.4406,0
0.38,1,0.700564,0.700805,13.2855,13.3151,0
0.39,1,0.715025,0.715311,13.1648,13.193,0
0.4,1,0.728994,0.729326,13.0476,13.0744,0
0.41,1,0.742478,0.742854,12.9338,12.9592,0
0.42,1,0.755484,0.755904,12.8235,12.8475,0
0.43,1,0.768021,0.768484,12.7166,12.7392,0
0.44,1,0.780098,0.780602,12.613,12.6343,0
0.45,1,0.791724,0.792268,12.5127,12.5328,0
0.46,1,0.802909,0.803491,12.4156,12.4346,0
0.47,1,0.813664,0.814282,12.3217,12.3396,0
0.48,1,0.823998,0.824651,12.2309,12.2479,0
0.49,1,0.833922,0.834608,12.1432,12.1593,0
0.5,1,0.843447,0.844164,12.0584,12.0737,0
0.51,1,0.852585,0.853331,11.9766,11.9912,0
0.52,1,0.861345,0.862118,11.8976,11.9116,0
0.53,1,0.869739,0.870538,11.8214,11.8349,0
0.54,1,0.877778,0.8786,11.7479,11.7609,0
0.55,1,0.885473,0.886317,11.677,11.6897,0
0.56,1,0.892834,0.893699,11.6087,11.6211,0
0.57,1,0.899873,0.900756,11.5428,11.555,0
0.58,1,0.906599,0.9075,11.4794,11.4915,0
0.59,1,0.913024,0.91394,11.4184,11.4303,0
0.6,1,0.919158,0.920088,11.3596,11.3714,0
0.61,1,0.92501,0.925954,11.303,11.3148,0
0.62,1,0.93059,0.931547,11.2485,11.2604,0
0.63,1,0.935909,0.936877,11.1962,11.2081,0
0.64,1,0.940976,0.941954,11.1458,11.1578,0
0.65,1,0.945799,0.946787,11.0974,11.1094,0
0.66,1,0.950389,0.951386,11.0508,11.063,0
0.67,1,0.954754,0.95576,11.0061,11.0184,0
0.68,1,0.958903,0.959916,10.9631,10.9755,0
0.69,1,0.962843,0.963864,10.9218,10.9344,0
0.7,1,0.966584,0.967611,10.8822,10.8949,0
0.71,1,0.970132,0.971167,10.8441,10.8569,0
0.72,1,0.973497,0.974537,10.8076,10.8205,0
0.73,1,0.976684,0.977731,10.7725,10.7855,0
0.74,1,0.979702,0.980755,10.7389,10.752,0
0.75,1,0.982558,0.983616,10.7066,10.7198,0
0.76,1,0.985258,0.986321,10.6756,10.6889,0
0.77,1,0.987808,0.988877,10.6459,10.6593,0
0.78,1,0.990216,0.99129,10.6174,10.6308,0
0.79,1,0.992487,0.993566,10.5901,10.6036,0
0.8,1,0.994627,0.995712,10.5639,10.5774,0
0.81,1,0.996642,0.997732,10.5388,10.5523,0
0.82,1,0.998538,0.999632,10.5148,10.5283,0
0.83,1,1.00032,1.00142,10.4917,10.5052,0
0.84,1,1.00199,1.0031,10.4697,10.4831,0
0.85,1,1.00356,1.00467,10.4485,10.462,0
0.86,1,1.00503,1.00614,10.4283,10.4417,0
0.87,1,1.0064,1.00752,10.4089,10.4222,0
0.88,1,1.00768,1.00881,10.3904,10.4036,0
0.89,1,1.00888,1.01001,10.3726,10.3857,0
0.9,1,1.01,1.01113,10.3556,10.3686,0
0.91,1,1.01103,1.01217,10.3394,10.3522,0
0.92,1,1.012,1.01313,10.3238,10.3365,0
0.93,1,1.01289,1.01403,10.3089,10.3215,0
0.94,1,1.01371,1.01486,10.2947,10.3071,0
0.95,1,1.01447,1.01562,10.2811,10.2933,0
0.96,1,1.01517,1.01632,10.268,10.2801,0
0.97,1,1.01581,1.01697,10.2556,10.2675,0
0.98,1,1.0164,1.01755,10.2437,10.2554,0
0.99,1,1.01693,1.01809,10.2323,10.2438,0
1,1,1.01742,1.01858,10.2215,10.2327,0
1.01,1,1.01785,1.01902,10.2111,10.2221,0
1.02,1,1.01825,1.01941,10.2011,10.212,0
1.03,1,1.0186,1.01977,10.1917,10.2023,0
1.04,1,1.01891,1.02008,10.1826,10.193,0
1.05,1,1.01918,1.02035,10.174,10.1841,0
1.06,1,1.01942,1.02059,10.1657,10.1757,0
1.07,1,1.01963,1.0208,10.1578,10.1675,0
1.08,1,1.0198,1.02097,10.1503,10.1598,0
1.09,1,1.01995,1.02111,10.1431,10.1524,0
1.1,1,1.02006,1.02123,10.1363,10.1453,0
1.11,1,1.02015,1.02132,10.1297,10.1385,0
1.12,1,1.02022,1.02138,10.1235,10.132,0
1.13,1,1.02026,1.02142,10.1175,10.1259,0
1.14,1,1.02027,1.02143,10.1119,10.1199,0
1.15,1,1.02027,1.02143,10.1065,10.1143,0
1.16,1,1.02025,1.0214,10.1013,10.1089,0
1.17,1,1.02021,1.02136,10.0964,10.1038,0
1.18,1,1.02016,1.0213,10.0917,10.0988,0
1.19,1,1.02008,1.02122,10.0872,10.0942,0
1.2,1,1.02,1.02113,10.083,10.0897,0
1.21,1,1.0199,1.02103,10.0789,10.0854,0
1.22,1,1.01978,1.02091,10.0751,10.0813,0
1.23,1,1.01966,1.02078,10.0714,10.0774,0
1.24,1,1.01952,1.02063,10.0679,10.0737,0
1.25,1,1.01937,1.02048,10.0646,10.0702,0
1.26,1,1.01922,1.02032,10.0614,10.0668,0
1.27,1,1.01905,1.02015,10.0584,10.0636,0
1.28,1,1.01888,1.01997,10.0555,10.0605,0
1.29,1,1.0187,1.01978,10.0528,10.0576,0
1.3,1,1.01852,1.01959,10.0502,10.0548,0
1.31,1,1.01832,1.01939,10.0477,10.0522,0
1.32,1,1.01813,1.01918,10.0454,10.0497,0
1.33,1,1.01792,1.01897,10.0431,10.0473,0
1.34,1,1.01772,1.01875,10.041,10.045,0
1.35,1,1.0175,1.01853,10.039,10.0428,0
1.36,1,1.01729,1.01831,10.0371,10.0407,0
1.37,1,1.01707,1.01808,10.0353,10.0387,0
1.38,1,1.01685,1.01785,10.0336,10.0369,0
1.39,1,1.01663,1.01762,10.0319,10.0351,0
1.4,1,1.0164,1.01739,10.0304,10.0334,0
1.41,1,1.01618,1.01715,10.0289,10.0318,0
1.42,1,1.01595,1.01691,10.0275,10.0302,0
1.43,1,1.01572,1.01667,10.0262,10.0288,0
1.44,1,1.01549,1.01643,10.025,10.0274,0
1.45,1,1.01526,1.01619,10.0238,10.0261,0
1.46,1,1.01504,1.01595,10.0227,10.0249,0
1.47,1,1.01481,1.01571,10.0216,10.0237,0
1.48,1,1.01458,1.01547,10.0206,10.0226,0
1.49,1,1.01435,1.01524,10.0197,10.0215,0
1.5,1,1.01412,1.015,10.0188,10.0205,0
1.51,1,1.01389,1.01476,10.0179,10.0196,0
1.52,1,1.01367,1.01452,10.0171,10.0187,0
1.53,1,1.01344,1.01428,10.0164,10.0178,0
1.54,1,1.01322,1.01405,10.0157,10.017,0
1.55,1,1.013,1.01382,10.015,10.0162,0
1.56,1,1.01278,1.01359,10.0144,10.0155,0
1.57,1,1.01256,1.01336,10.0138,10.0149,0
1.58,1,1.01234,1.01313,10.0132,10.0142,0
1.59,1,1.01213,1.0129,10.0127,10.0136,0
1.6,1,1.01191,1.01268,10.0122,10.013,0
1.61,1,1.0117,1.01245,10.0117,10.0125,0
1.62,1,1.01149,1.01223,10.0113,10.012,0
1.63,1,1.01129,1.01202,10.0109,10.0115,0
1.64,1,1.01108,1.0118,10.0105,10.0111,0
1.65,1,1.01088,1.01159,10.0101,10.0107,0
1.66,1,1.01068,1.01138,10.0098,10.0103,0
1.67,1,1.01048,1.01117,10.0095,10.0099,0
1.68,1,1.01029,1.01096,10.0092,10.0096,0
1.69,1,1.0101,1.01076,10.0089,10.0092,0
1.7,1,1.00991,1.01056,10.0087,10.0089,0
1.71,1,1.00972,1.01036,10.0084,10.0087,0
1.72,1,1.00953,1.01016,10.0082,10.0084,0
1.73,1,1.00935,1.00997,10.008,10.0081,0
1.74,1,1.00917,1.00978,10.0078,10.0079,0
1.75,1,1.009,1.00959,10.0076,10.0077,0
1.76,1,1.00882,1.00941,10.0075,10.0075,0
1.77,1,1.00865,1.00923,10.0073,10.0073,0
1.78,1,1.00848,1.00905,10.0072,10.0072,0
1.79,1,1.00832,1.00887,10.0071,10.007,0
1.8,1,1.00815,1.0087,10.007,10.0069,0
1.81,1,1.00799,1.00853,10.0069,10.0067,0
1.82,1,1.00783,1.00836,10.0068,10.0066,0
1.83,1,1.00768,1.00819,10.0067,10.0065,0
1.84,1,1.00752,1.00803,10.0066,10.0064,0
1.85,1,1.00737,1.00787,10.0066,10.0063,0
1.86,1,1.00722,1.00771,10.0065,10.0063,0
1.87,1,1.00708,1.00755,10.0064,10.0062,0
1.88,1,1.00693,1.0074,10.0064,10.0061,0
1.89,1,1.00679,1.00725,10.0064,10.0061,0
1.9,1,1.00665,1.0071,10.0063,10.006,0
1.91,1,1.00652,1.00696,10.0063,10.006,0
1.92,1,1.00638,1.00682,10.0063,10.006,0
1.93,1,1.00625,1.00668,10.0063,10.0059,0
1.94,1,1.00612,1.00654,10.0063,10.0059,0
1.95,1,1.006,1.0064,10.0063,10.0059,0
1.96,1,1.00587,1.00627,10.0063,10.0059,0
1.97,1,1.00575,1.00614,10.0063,10.0059,0
1.98,1,1.00563,1.00601,10.0063,10.0059,0
1.99,1,1.00551,1.00589,10.0063,10.0059,0
2,1,1.0054,1.00576,10.0063,10.0059,0
2.01,1,1.00528,1.00564,10.0063,10.0059,0
2.02,1,1.00517,1.00552,10.0063,10.0059,0
2.03,1,1.00506,1.00541,10.0063,10.0059,0
2.04,1,1.00496,1.00529,10.0064,10.0059,0
2.05,1,1.00485,1.00518,10.0064,10.006,0
2.06,1,1.00475,1.00507,10.0064,10.006,0
2.07,1,1.00465,1.00496,10.0064,10.006,0
2.08,1,1.00455,1.00486,10.0065,10.006,0
2.09,1,1.00445,1.00475,10.0065,10.0061,0
2.1,1,1.00436,1.00465,10.0065,10.0061,0
2.11,1,1.00426,1.00455,10.0066,10.0061,0
2.12,1,1.00417,1.00446,10.0066,10.0062,0
2.13,1,1.00408,1.00436,10.0066,10.0062,0
